date,home,away,home_goals,away_goals,neutral,tournament,home_elo,away_elo
2010-01-27,South Africa,Zimbabwe,3,0,False,Friendly,1500.0,1478.75
2010-01-28,Algeria,Egypt,0,4,True,African Cup of Nations,1515.6648683289184,1611.8347832028912
2010-01-28,Ghana,Nigeria,1,0,True,African Cup of Nations,1518.6141577501203,1524.147017890456
2010-01-30,Nigeria,Algeria,1,0,True,African Cup of Nations,1503.8285477794175,1488.2876238788813
2010-01-31,Jamaica,Canada,1,0,False,Friendly,1500.0,1500.0
2010-01-31,Ghana,Egypt,0,1,True,African Cup of Nations,1538.9326278611588,1639.2120276529283
2010-02-02,Japan,Venezuela,0,0,False,Friendly,1517.0715258070481,1500.0
2010-02-06,Japan,China,0,0,False,EAFF Championship,1514.888913043959,1516.0758406644582
2010-02-07,South Korea,Hong Kong,5,0,True,EAFF Championship,1510.628572099922,1476.6843006752893
2010-02-10,Argentina,Jamaica,2,1,False,Friendly,1508.2900264265638,1508.2900264265638
2010-02-10,China,South Korea,3,0,True,EAFF Championship,1518.5910267301824,1537.706878225201
2010-02-11,Japan,Hong Kong,3,0,False,EAFF Championship,1512.3737269782348,1449.60599455001
2010-02-14,Hong Kong,China,0,2,True,EAFF Championship,1432.263843493168,1546.283842023534
2010-02-14,Japan,South Korea,1,3,False,EAFF Championship,1529.715878035077,1510.0140629318496
2010-02-16,Sri Lanka,Myanmar,0,4,False,AFC Challenge Cup,1500.0,1500.0
2010-02-16,Tajikistan,Bangladesh,1,2,True,AFC Challenge Cup,1511.7099735734362,1500.0
2010-02-17,North Korea,Turkmenistan,1,1,True,AFC Challenge Cup,1490.0,1500.0
2010-02-18,Bangladesh,Myanmar,1,2,True,AFC Challenge Cup,1515.5053688533578,1532.9343006752893
2010-02-18,Sri Lanka,Tajikistan,1,3,False,AFC Challenge Cup,1467.0656993247107,1496.2046047200784
2010-02-19,Kuwait,Syria,1,1,True,Friendly,1497.4350396398456,1520.9082392485525
2010-02-19,Kyrgyzstan,North Korea,0,4,True,AFC Challenge Cup,1500.0,1490.4316155249799
2010-02-20,Sri Lanka,Bangladesh,3,0,False,AFC Challenge Cup,1442.5723681586928,1501.2572057728087
2010-02-20,Tajikistan,Myanmar,3,0,True,AFC Challenge Cup,1520.6979358860963,1547.1824637558384
2010-02-21,Turkmenistan,Kyrgyzstan,1,0,True,AFC Challenge Cup,1499.5683844750201,1471.1006325798428
2010-02-24,Tajikistan,Turkmenistan,0,2,True,AFC Challenge Cup,1548.9450697884672,1513.3420759305006
