id,name,team,ip,runs,gs,so,bb,hr
621381,Matt Strahm,Kansas City Royals,31.333333333333332,25,0,25,13,9
682825,Luis Mey,Cincinnati Reds,8.666666666666666,7,0,14,10,2
664875,Justin Lawrence,Washington Nationals,34.333333333333336,35,0,43,28,9
607536,Kyle Freeland,Colorado Rockies,88.0,74,17,79,18,18
694346,Trey Gibson,Baltimore Orioles,33.0,27,7,30,25,7
675919,Nick Raquet,Baltimore Orioles,3.6666666666666665,3,0,1,2,1
676742,Cam Sanders,Baltimore Orioles,11.0,9,0,15,10,1
663765,Jake Woodford,Chicago Cubs,25.333333333333332,21,0,23,7,4
656212,Charlie Barnes,Los Angeles Dodgers,12.0,11,0,4,6,3
605335,Brandon Leibrandt,Cincinnati Reds,6.0,5,0,3,3,2
676254,Ryan Walker,San Francisco Giants,26.333333333333332,23,0,19,15,4
663362,Matt Waldron,San Diego Padres,28.666666666666668,24,3,27,8,6
681168,Luis Curvelo,Texas Rangers,8.333333333333334,8,0,4,3,3
678368,Valente Bellozo,Colorado Rockies,10.666666666666666,10,0,8,7,5
680802,Ryan Weiss,Houston Astros,26.0,24,2,30,20,8
607481,Aaron Bummer,Atlanta Braves,15.333333333333334,15,0,13,10,6
682995,Hunter Barco,Pittsburgh Pirates,11.666666666666666,12,0,8,9,3
606965,Chris Devenski,Pittsburgh Pirates,2.3333333333333335,2,0,3,0,1
641656,Ian Hamilton,Atlanta Braves,4.666666666666667,4,0,4,3,0
694851,Andrew Hoffmann,Arizona Diamondbacks,11.666666666666666,12,0,12,8,3
694646,Chayce McDermott,Los Angeles Dodgers,2.3333333333333335,2,0,1,0,1
684320,Yariel Rodríguez,Toronto Blue Jays,9.333333333333334,11,0,6,7,2
605447,Jordan Romano,Colorado Rockies,11.666666666666666,10,0,17,10,1
669371,Cole Henry,Washington Nationals,13.666666666666666,14,0,15,7,4
592454,Tommy Kahnle,Boston Red Sox,9.0,8,0,5,6,2
623437,Justin Topa,Minnesota Twins,19.0,18,0,12,11,4
641585,J.P. France,Houston Astros,6.666666666666667,6,0,4,5,1
695445,Chase Lee,Toronto Blue Jays,3.3333333333333335,3,0,1,4,2
665665,Reiver Sanmartin,San Francisco Giants,3.3333333333333335,3,0,4,1,3
656986,Bennett Sousa,Houston Astros,3.3333333333333335,3,0,4,5,0
642546,Jonathan Hernández,Los Angeles Dodgers,17.666666666666668,16,0,15,12,4
606303,Joel Payamps,Atlanta Braves,7.666666666666667,9,0,9,4,2
680570,Grayson Rodriguez,Los Angeles Angels,35.0,34,8,27,17,5
624522,Keegan Thompson,Colorado Rockies,12.0,11,0,11,2,1
683155,Joey Estes,Athletics,4.333333333333333,4,1,4,1,1
694462,Hurston Waldrep,Atlanta Braves,10.666666666666666,10,2,9,10,3
664353,José Urquidy,Pittsburgh Pirates,6.333333333333333,10,0,6,2,1
691769,Philip Abner,Arizona Diamondbacks,7.333333333333333,7,0,4,4,2
693312,Kyle Nicolas,Cincinnati Reds,7.333333333333333,7,0,7,13,1
673540,Kodai Senga,New York Mets,40.666666666666664,41,7,49,30,12
807743,Sean Sullivan,Colorado Rockies,22.333333333333332,22,5,16,11,5
682668,Luisangel Acuña,Chicago White Sox,1.0,1,0,0,1,1
606115,Orlando Arcia,Minnesota Twins,1.0,1,0,0,2,0
671382,Cameron Foster,Baltimore Orioles,9.0,10,0,9,8,1
472610,Luis García,Minnesota Twins,15.0,16,0,6,6,2
689017,Landon Knack,Los Angeles Dodgers,3.0,3,0,2,2,2
657649,Jared Koenig,Milwaukee Brewers,7.0,9,0,7,7,1
681432,Luke Little,Chicago Cubs,1.0,1,0,1,0,1
455119,Chris Martin,Texas Rangers,14.0,15,0,9,2,4
663967,César Salazar,Houston Astros,1.0,1,0,0,0,1
692437,Winston Santos,Texas Rangers,2.0,2,0,1,1,1
694363,Jared Shuster,St. Louis Cardinals,9.0,10,0,4,6,1
681006,Josh Simpson,Seattle Mariners,3.0,3,0,3,2,2
669704,Kade Strowd,Arizona Diamondbacks,1.0,1,0,1,3,0
592836,Taijuan Walker,Philadelphia Phillies,22.666666666666668,25,4,17,11,8
605452,Joe Ross,Texas Rangers,11.666666666666666,13,0,7,6,3
669920,Jason Alexander,Houston Astros,18.333333333333332,19,2,14,8,4
681151,Jayden Murray,Chicago Cubs,16.333333333333332,17,0,14,9,3
694341,Brendan Beck,New York Yankees,6.666666666666667,7,1,4,5,4
669298,TJ Shook,Colorado Rockies,5.666666666666667,6,0,6,1,3
676508,Ben Casparius,Los Angeles Dodgers,4.666666666666667,5,0,4,4,1
701552,Andre Granillo,Washington Nationals,9.333333333333334,12,0,3,8,2
703725,Luis Gastelum,St. Louis Cardinals,3.6666666666666665,4,0,4,1,3
666201,Alek Manoah,Los Angeles Angels,7.333333333333333,9,0,5,8,1
670912,Johan Oviedo,Boston Red Sox,3.6666666666666665,4,0,3,1,2
688497,Taylor Rashi,Arizona Diamondbacks,3.6666666666666665,4,0,4,1,1
671162,Connor Thomas,Atlanta Braves,3.6666666666666665,4,0,2,1,1
687209,Zach Maxwell,Cincinnati Reds,10.0,11,0,9,10,3
608723,Austin Voth,Minnesota Twins,10.0,12,0,3,6,3
664299,Cristian Javier,Houston Astros,15.333333333333334,17,4,12,15,3
669620,Brady Basso,Athletics,5.333333333333333,6,0,4,1,1
672021,Eric Cerantola,Kansas City Royals,5.333333333333333,6,0,7,10,2
671111,Sammy Peralta,Colorado Rockies,2.6666666666666665,3,1,4,2,1
688297,Chris Roycroft,Tampa Bay Rays,13.333333333333334,15,0,13,10,5
453286,Max Scherzer,Toronto Blue Jays,22.0,25,6,14,11,9
663465,Kolby Allard,Cleveland Guardians,8.666666666666666,10,0,9,3,2
605154,John Brebbia,Colorado Rockies,4.333333333333333,5,0,2,0,2
699008,Antwone Kelly,Pittsburgh Pirates,4.333333333333333,5,0,1,2,2
696136,Jordan Wicks,Chicago Cubs,10.333333333333334,12,2,8,2,1
621242,Edwin Díaz,Los Angeles Dodgers,6.0,7,0,10,5,1
656686,Corbin Martin,Chicago Cubs,5.0,6,0,4,5,2
681343,Shane Smith,Chicago White Sox,8.333333333333334,12,3,11,9,1
693713,Emiliano Teodo,Texas Rangers,1.6666666666666665,2,0,1,2,0
666126,Carlos Cortes,Athletics,5.666666666666667,8,0,1,5,3
669169,Jonathan Heasley,Tampa Bay Rays,4.0,5,0,2,0,2
543510,James McCann,Arizona Diamondbacks,4.0,6,0,0,3,1
640454,Matt Krook,Washington Nationals,6.333333333333333,9,0,7,6,2
680704,Nick Sandlin,Los Angeles Angels,8.666666666666666,11,0,6,5,2
676467,Colton Gordon,Houston Astros,9.333333333333334,12,1,11,3,6
691946,George Klassen,Los Angeles Angels,4.666666666666667,7,2,6,10,1
695034,Kade Morris,Athletics,10.0,13,1,6,6,4
676596,Josh Fleming,Toronto Blue Jays,3.0,4,0,1,2,1
605483,Blake Snell,Los Angeles Dodgers,3.0,5,1,5,2,0
434378,Justin Verlander,Detroit Tigers,3.6666666666666665,5,1,1,2,1
692030,Jose Corniell,Texas Rangers,3.3333333333333335,5,0,3,2,2
595978,Austin Hedges,Cleveland Guardians,1.3333333333333333,2,0,0,0,0
623168,Tyler Heineman,Toronto Blue Jays,3.3333333333333335,5,0,0,1,1
696522,Hayden Juenger,Toronto Blue Jays,2.0,3,0,0,2,0
683766,Christian Koss,San Francisco Giants,2.0,3,0,0,0,0
664192,Joey Lucchesi,Los Angeles Angels,3.3333333333333335,6,0,4,6,1
691548,Rolddy Muñoz,Atlanta Braves,2.0,3,0,3,1,1
500743,Miguel Rojas,Los Angeles Dodgers,4.0,6,0,0,1,2
663559,Bailey Falter,Kansas City Royals,9.666666666666666,15,2,6,6,4
624431,Jose Trevino,Cincinnati Reds,5.0,8,0,1,1,0
806960,Luis Morales,Athletics,9.333333333333334,15,2,7,12,5
666129,Braxton Garrett,Miami Marlins,4.333333333333333,7,2,5,8,0
693313,Carson Seymour,San Francisco Giants,4.333333333333333,7,0,2,2,1
642152,Lou Trivino III,Philadelphia Phillies,6.0,10,0,7,7,1
642215,Weston Wilson,Baltimore Orioles,2.3333333333333335,4,0,0,0,2
676568,Ricky Vanasco,Detroit Tigers,6.333333333333333,12,0,4,6,2
682610,Roddery Muñoz,Houston Astros,4.0,7,0,6,6,3
547184,Michael Kelly,Athletics,5.0,9,0,6,6,1
678391,Jorbit Vivas,Washington Nationals,2.6666666666666665,6,0,0,1,1
656457,Tyler Gilbert,Chicago White Sox,3.6666666666666665,7,1,3,4,2
686475,Tyler Tolbert,Kansas City Royals,3.6666666666666665,7,0,0,2,2
624428,Adam Frazier,Los Angeles Angels,2.0,4,0,0,2,1
608348,Carson Kelly,Chicago Cubs,1.0,2,0,0,0,2
699151,Jedixson Paez,Chicago White Sox,3.0,6,0,0,3,2
543309,Kyle Higashioka,Texas Rangers,3.0,7,0,0,1,1
687765,Mitch Spence,Kansas City Royals,9.333333333333334,22,1,6,9,3
682274,Yaramil Hiraldo,Baltimore Orioles,1.6666666666666665,4,0,2,4,2
676130,José Buttó,San Francisco Giants,2.0,5,0,5,4,2
678576,Wilkin Ramos,San Francisco Giants,2.0,5,0,1,4,0
686894,Joey Wiemer,Washington Nationals,2.0,5,0,0,2,1
660710,Rodolfo Durán,San Diego Padres,3.0,9,0,0,1,2
656577,Alex Jackson,Minnesota Twins,1.0,3,0,0,1,2
686747,Joe La Sorsa,Boston Red Sox,0.3333333333333333,1,0,1,0,1
663893,Brendon Little,Toronto Blue Jays,4.666666666666667,15,0,7,6,3
680689,Lyon Richardson,Cincinnati Reds,1.6666666666666665,5,1,3,2,2
620443,Luis Torrens,New York Mets,0.3333333333333333,1,0,0,0,1
814305,Yunior Tur,Athletics,2.0,6,0,2,1,1
681806,Andrew Wantz,Tampa Bay Rays,1.6666666666666665,5,0,1,2,1
676910,Matt Seelinger,New York Mets,2.0,7,0,2,4,1
671083,Buddy Kennedy,San Francisco Giants,1.0,4,0,0,2,0
671131,Jackson Rutledge,Washington Nationals,1.3333333333333333,7,0,2,2,0
668820,Max Kranick,Washington Nationals,0.6666666666666666,5,0,1,2,1
687985,Josh White,Miami Marlins,0.6666666666666666,5,0,1,4,1
605156,Aaron Brooks,Tampa Bay Rays,0.3333333333333333,4,0,0,2,1
700270,Yilber Díaz,Arizona Diamondbacks,0.6666666666666666,7,0,0,1,1
628708,Yunior Marte,Cincinnati Reds,0.3333333333333333,4,0,1,1,0
608032,Carlos Estévez,Kansas City Royals,0.3333333333333333,6,0,0,2,1
686563,Jonathan Cannon,Chicago White Sox,0.0,1,0,0,3,0
