team
Arsenal
Aston Villa
Bournemouth
Brentford
Brighton
Chelsea
Crystal Palace
Everton
Fulham
Ipswich
Leicester
Liverpool
Man City
Man United
Newcastle
Nott'm Forest
Southampton
Tottenham
West Ham
Wolves
